Station (m),Wbf (m),Wbf_half (m),Zd (m),Wbase_half (m)
184,3.808598042,1.904299021,-0.04,1.753194299
182,8.059765592,4.029882796,-0.14,2.755026316
180,9.249461013,4.624730507,-0.12,2.755026316
178,10.07952313,5.039761564,-0.17,2.003663745
176,9.793559189,4.896779594,-0.16,2.755026316
174,10.33762713,5.168813564,-0.17,2.755026316
172,9.793559189,4.896779594,-0.13,2.003663745
170,11.28247643,5.641238217,-0.03,2.755026316
168,12.45357939,6.226789695,0.01,3.254669655
166,11.96989264,5.984946318,0.02,2.503596598
164,10.88172533,5.440862667,0.02,4.506467955
162,11.42579327,5.712896636,0,4.001947876
160,10.95600567,5.478002836,0.05,2.9347668
158,11.39936815,5.699684074,0.07,3.468365042
156,11.34733876,5.673669379,0.09,2.401168695
154,12.01027854,6.005139272,0.06,2.667975238
152,12.58220526,6.291102632,0.09,2.401168695
150,11.47422636,5.737113179,0.12,2.394813555
148,10.86645534,5.43322767,0.15,2.111395244
146,12.32531976,6.162659882,0.19,1.984644271
144,12.23205106,6.116025528,0.28,2.772658951
142,13.15413198,6.577065992,0.33,2.464582412
140,12.7817268,6.390863398,0.35,2.901330179
138,13.15413198,6.577065992,0.29,2.692146137
136,13.38882811,6.694414053,0.25,2.772658951
134,12.86451127,6.432255634,0.23,2.464582412
132,11.62156738,5.81078369,0.17,2.620731315
130,12.83537236,6.417686179,0.12,2.35866432
128,12.86451127,6.432255634,0.05,2.35866432
126,12.86451127,6.432255634,0.03,1.911888526
124,13.72154733,6.860773665,-0.11,1.78695096
122,12.48765637,6.243828183,-0.19,2.042236246
120,12.84930175,6.424650874,-0.24,1.941332236
118,11.83029418,5.915147088,-0.27,2.042236246
116,11.57807236,5.789036179,-0.38,2.560975366
114,11.57807236,5.789036179,-0.51,2.817083566
112,10.93485231,5.467426154,-0.54,3.073176374
110,9.648383162,4.824191581,-0.54,3.073176374
108,11.35255008,5.676275038,-0.5,3.073176374
106,11.35764045,5.678820225,-0.54,3.073176374
104,10.65449733,5.327248665,-0.57,4.968026412
102,10.50029861,5.250149307,-0.54,4.445081295
100,11.9783049,5.989152451,-0.29,4.706553991
98,11.4377728,5.718886398,-0.11,4.968026412
96,13.97949902,6.98974951,0.05,4.639406642
94,13.03897854,6.519489272,0.11,4.527971579
92,14.06002785,7.030013926,0.15,3.587648461
90,14.4221906,7.211095301,0.18,3.678981842
88,15.32357628,7.661788141,0.25,2.8299918
86,16.2249608,8.112480402,0.28,3.112983238
84,15.62401725,7.812008623,0.31,2.23034352
82,16.82587413,8.412937063,0.33,1.21800363
80,16.2249608,8.112480402,0.32,1.102074519
78,15.34207749,7.671038745,0.37,2.33844084
76,16.37032053,8.185160267,0.34,3.225652817
74,17.72725981,8.863629903,0.34,2.625425219
72,17.22494861,8.612474307,0.26,2.795153221
70,17.92339784,8.961698922,0.17,3.263295587
68,20.09595244,10.04797622,0.24,3.147364861
66,21.09548214,10.54774107,0.23,1.969068915
64,22.81162854,11.40581427,0.22,2.800075604
62,23.35475121,11.6773756,0.24,3.087181918
60,23.89787387,11.94893694,0.19,2.629037206
58,23.89787387,11.94893694,0.18,2.629037206
56,24.28049004,12.14024502,0.19,1.97178168
54,24.01302728,12.00651364,0.12,2.515285709
52,24.88338347,12.44169173,0.05,2.631429795
50,24.28049004,12.14024502,0.02,2.724058438
48,23.74090205,11.87045103,-0.09,2.497028402
46,24.82004779,12.4100239,-0.12,2.209342755
44,25.20001065,12.60000533,-0.24,2.931170206
42,24.82004779,12.4100239,-0.31,2.51470668
40,24.82004779,12.4100239,-0.19,2.922909958
38,23.20134662,11.60067331,-0.09,3.51429828
36,22.70763024,11.35381512,-0.04,2.807421375
34,22.66178883,11.33089442,-0.01,2.43548913
32,23.20134662,11.60067331,-0.03,2.494848884
30,20.16035549,10.08017775,-0.02,3.044357777
28,21.67237713,10.83618856,0.01,3.040151355
26,22.68041096,11.34020548,0.09,1.9346418
24,22.1763952,11.0881976,-0.04,2.211019261
22,22.68041096,11.34020548,0,2.487396722
20,22.68041096,11.34020548,0.05,2.487396722
18,21.16835906,10.58417953,-0.02,2.34548169
16,20.66437357,10.33218678,-0.07,2.134834379
14,21.67237713,10.83618856,-0.14,2.40168684
12,18.14431691,9.072158457,-0.12,2.40168684
10,17.6403,8.82015,-0.02,2.08533492
8,17.13631332,8.568156661,0.01,2.223668339
6,17.6403,8.82015,-0.09,2.134834379
4,17.25472818,8.627364091,-0.11,1.936394446
2,18.14431691,9.072158457,-0.13,1.193907727
0,18.24950352,9.124751758,-0.09,0.839833698
