Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,-0.153,1.121,8.308
2,-0.166,1.672,13.007
4,-0.189,1.78,13.154
6,-0.182,1.948,12.971
8,-0.155,2.306,13.152
10,-0.148,2.081,12.95
12,-0.161,2.083,12.621
14,-0.134,2.355,12.296
16,-0.157,2.036,12.463
18,-0.15,2.036,11.489
20,-0.163,2.551,12.167
22,-0.187,2.671,10.558
24,-0.19,2.988,10.885
26,-0.103,2.931,10.416
28,-0.016,2.642,11.102
30,0.001,3.179,11.068
32,0.038,2.982,11.052
34,0.065,3.1,11.282
36,0.132,3.075,11.923
38,0.149,2.643,11.983
40,0.096,2.513,11.85
42,0.153,2.591,12.42
44,0.1,2.663,12.529
46,0.127,2.981,12.219
48,0.124,2.62,13.188
50,0.121,2.082,13.02
52,0.137,2.385,12.089
54,0.084,2.72,12.028
56,-0.079,2.889,11.51
58,-0.412,3.006,11.494
60,-0.425,2.557,11.787
62,-0.478,2.431,11.512
64,-0.551,2.8,10.842
66,-0.894,2.918,11.029
68,-1.087,3.419,11.825
70,-1.14,3.347,12.116
72,-1.043,4.425,12.057
74,-0.586,4.612,12.127
76,-0.269,4.644,13.102
78,0.108,4.757,13.577
80,0.325,4.859,13.061
82,0.461,5.101,12.847
84,0.538,4.908,12.898
86,0.555,4.487,12.525
88,0.562,4.582,12.746
90,0.489,4.443,12.568
92,0.366,4.603,14.213
94,0.333,4.627,16.519
96,0.37,4.867,17.215
98,0.457,5.109,17.948
100,0.564,5.907,18.402
102,0.611,6.234,18.154
104,0.628,4.604,17.948
106,0.625,3.531,17.832
108,0.672,2.838,17.895
110,0.699,2.402,17.004
112,0.676,2.507,15.758
114,0.622,2.622,16.115
116,0.579,2.614,15.935
118,0.476,2.22,16.082
120,0.403,2.05,16.101
122,0.34,1.537,15.615
124,0.317,1.679,16.404
126,0.094,1.634,15.513
128,0.151,1.58,14.612
130,0.188,1.759,14.946
132,0.215,1.401,14.841
134,0.222,1.773,13.973
136,0.169,2.14,14.345
138,0.096,1.749,14.365
140,0.103,1.752,13.542
142,0.12,1.749,13.529
144,0.116,1.977,12.356
146,0.193,2.117,14.336
148,0.11,2.104,13.127
150,0.087,2.465,11.971
152,0.114,2.448,10.791
154,-0.019,2.933,9.979
156,-0.022,2.886,9.573
158,-0.045,2.542,9.446
160,-0.178,1.669,9.631
162,-0.281,1.787,10.236
164,-0.294,2.086,11.925
166,-0.247,2.258,13.041
168,-0.418,1.833,13.968
170,-0.74,2.462,14.046
172,-0.86,2.854,14.38
174,-0.74,3.537,15.128
176,-0.649,2.746,15.137
178,-0.489,2.65,16.367
180,-0.159,2.675,15.185
182,-0.002,2.229,14.577
184,0.115,2.92,13.4
186,0.142,1.919,11.149
188,0.009,2.555,13.624
190,-0.034,2.082,12.053
192,-0.055,1.939,12.374
194,-0.138,1.749,12.742
196,-0.027,1.703,16.465
198,-0.029,1.424,20.159
200,-0.046,1.733,24.722
202,-0.061,1.768,21.608
204,-0.09,1.74,18.758
206,-0.128,1.407,17.191
208,-0.1,1.653,15.145
210,-0.121,1.498,14.13
212,-0.144,1.717,12.291
214,-0.132,2.151,11.373
216,-0.094,2.207,10.789
218,-0.065,2.644,10.022
220,-0.007,2.618,10.594
222,0.172,2.57,10.861
224,0.052,2.735,10.293
226,-0.084,3.522,11.1
228,-0.049,3.262,11.647
230,-0.058,3.259,12.103
232,-0.002,2.858,12.023
234,0.037,2.523,12.017
236,-0.044,2.508,12.193
238,-0.165,2.915,13.138
240,-0.207,3.013,12.342
242,-0.159,2.664,12.723
244,-0.152,2.636,14.087
246,-0.135,2.465,14.643
248,-0.005,2.993,15.323
250,0.029,2.626,16.085
252,0.06,2.983,16.983
254,0.105,2.543,16.208
256,0.129,2.713,15.31
258,0.231,2.671,13.83
260,0.288,3.255,15.432
262,0.391,3.551,16.492
264,0.475,3.77,17.721
266,0.492,3.698,18.629
268,0.433,3.518,19.116
270,0.359,2.933,13.525
272,0.195,2.845,14.664
274,-0.078,3.101,14.986
276,-0.514,3.279,15.533
278,-0.397,3.919,14.132
280,-0.261,4.799,13.027
282,-0.418,2.548,12.365
284,-0.439,2.27,7.532
