Station_m_ext,Station_m,Zd_m,Wbase_half_m,Wbf_half_m
0,0.000,-0.153,1.121,8.308
2,1.549,-0.166,1.672,13.007
4,3.099,-0.189,1.78,13.154
6,4.648,-0.182,1.948,12.971
8,6.197,-0.155,2.306,13.152
10,7.746,-0.148,2.081,12.95
12,9.296,-0.161,2.083,12.621
14,10.845,-0.134,2.355,12.296
16,12.394,-0.157,2.036,12.463
18,13.944,-0.15,2.036,11.489
20,15.493,-0.163,2.551,12.167
22,17.042,-0.187,2.671,10.558
24,18.592,-0.19,2.988,10.885
26,20.141,-0.103,2.931,10.416
28,21.690,-0.016,2.642,11.102
30,23.239,0.001,3.179,11.068
32,24.789,0.038,2.982,11.052
34,26.338,0.065,3.1,11.282
36,27.887,0.132,3.075,11.923
38,29.437,0.149,2.643,11.983
40,30.986,0.096,2.513,11.85
42,32.535,0.153,2.591,12.42
44,34.085,0.1,2.663,12.529
46,35.634,0.127,2.981,12.219
48,37.183,0.124,2.62,13.188
50,38.732,0.121,2.082,13.02
52,40.282,0.137,2.385,12.089
54,41.831,0.084,2.72,12.028
56,43.380,-0.079,2.889,11.51
58,44.930,-0.412,3.006,11.494
60,46.479,-0.425,2.557,11.787
62,48.028,-0.478,2.431,11.512
64,49.577,-0.551,2.8,10.842
66,51.127,-0.894,2.918,11.029
68,52.676,-1.087,3.419,11.825
70,54.225,-1.14,3.347,12.116
72,55.775,-1.043,4.425,12.057
74,57.324,-0.586,4.612,12.127
76,58.873,-0.269,4.644,13.102
78,60.423,0.108,4.757,13.577
80,61.972,0.325,4.859,13.061
82,63.521,0.461,5.101,12.847
84,65.070,0.538,4.908,12.898
86,66.620,0.555,4.487,12.525
88,68.169,0.562,4.582,12.746
90,69.718,0.489,4.443,12.568
92,71.268,0.366,4.603,14.213
94,72.817,0.333,4.627,16.519
96,74.366,0.37,4.867,17.215
98,75.915,0.457,5.109,17.948
100,77.465,0.564,5.907,18.402
102,79.014,0.611,6.234,18.154
104,80.563,0.628,4.604,17.948
106,82.113,0.625,3.531,17.832
108,83.662,0.672,2.838,17.895
110,85.211,0.699,2.402,17.004
112,86.761,0.676,2.507,15.758
114,88.310,0.622,2.622,16.115
116,89.859,0.579,2.614,15.935
118,91.408,0.476,2.22,16.082
120,92.958,0.403,2.05,16.101
122,94.507,0.34,1.537,15.615
124,96.056,0.317,1.679,16.404
126,97.606,0.094,1.634,15.513
128,99.155,0.151,1.58,14.612
130,100.704,0.188,1.759,14.946
132,102.254,0.215,1.401,14.841
134,103.803,0.222,1.773,13.973
136,105.352,0.169,2.14,14.345
138,106.901,0.096,1.749,14.365
140,108.451,0.103,1.752,13.542
142,110.000,0.12,1.749,13.529
144,111.549,0.116,1.977,12.356
146,113.099,0.193,2.117,14.336
148,114.648,0.11,2.104,13.127
150,116.197,0.087,2.465,11.971
152,117.746,0.114,2.448,10.791
154,119.296,-0.019,2.933,9.979
156,120.845,-0.022,2.886,9.573
158,122.394,-0.045,2.542,9.446
160,123.944,-0.178,1.669,9.631
162,125.493,-0.281,1.787,10.236
164,127.042,-0.294,2.086,11.925
166,128.592,-0.247,2.258,13.041
168,130.141,-0.418,1.833,13.968
170,131.690,-0.74,2.462,14.046
172,133.239,-0.86,2.854,14.38
174,134.789,-0.74,3.537,15.128
176,136.338,-0.649,2.746,15.137
178,137.887,-0.489,2.65,16.367
180,139.437,-0.159,2.675,15.185
182,140.986,-0.002,2.229,14.577
184,142.535,0.115,2.92,13.4
186,144.085,0.142,1.919,11.149
188,145.634,0.009,2.555,13.624
190,147.183,-0.034,2.082,12.053
192,148.732,-0.055,1.939,12.374
194,150.282,-0.138,1.749,12.742
196,151.831,-0.027,1.703,16.465
198,153.380,-0.029,1.424,20.159
200,154.930,-0.046,1.733,24.722
202,156.479,-0.061,1.768,21.608
204,158.028,-0.09,1.74,18.758
206,159.577,-0.128,1.407,17.191
208,161.127,-0.1,1.653,15.145
210,162.676,-0.121,1.498,14.13
212,164.225,-0.144,1.717,12.291
214,165.775,-0.132,2.151,11.373
216,167.324,-0.094,2.207,10.789
218,168.873,-0.065,2.644,10.022
220,170.423,-0.007,2.618,10.594
222,171.972,0.172,2.57,10.861
224,173.521,0.052,2.735,10.293
226,175.070,-0.084,3.522,11.1
228,176.620,-0.049,3.262,11.647
230,178.169,-0.058,3.259,12.103
232,179.718,-0.002,2.858,12.023
234,181.268,0.037,2.523,12.017
236,182.817,-0.044,2.508,12.193
238,184.366,-0.165,2.915,13.138
240,185.915,-0.207,3.013,12.342
242,187.465,-0.159,2.664,12.723
244,189.014,-0.152,2.636,14.087
246,190.563,-0.135,2.465,14.643
248,192.113,-0.005,2.993,15.323
250,193.662,0.029,2.626,16.085
252,195.211,0.06,2.983,16.983
254,196.761,0.105,2.543,16.208
256,198.310,0.129,2.713,15.31
258,199.859,0.231,2.671,13.83
260,201.408,0.288,3.255,15.432
262,202.958,0.391,3.551,16.492
264,204.507,0.475,3.77,17.721
266,206.056,0.492,3.698,18.629
268,207.606,0.433,3.518,19.116
270,209.155,0.359,2.933,13.525
272,210.704,0.195,2.845,14.664
274,212.254,-0.078,3.101,14.986
276,213.803,-0.514,3.279,15.533
278,215.352,-0.397,3.919,14.132
280,216.901,-0.261,4.799,13.027
282,218.451,-0.418,2.548,12.365
284,220.000,-0.439,2.27,7.532
